imageName,Car,Truck,Bus,Motorcycle
0000048549557964.txt,4,0,0,0
0000575f5a03db70.txt,1,0,0,0
0000599864fd15b3.txt,0,0,1,0
00006bdb1eb5cd74.txt,0,2,0,0
00010bf498b64bab.txt,0,0,1,0
00013f14dd4e168f.txt,0,0,1,0
0001e3818893e500.txt,0,0,0,2
000228608388803f.txt,1,0,0,0
0002914fa805e227.txt,0,1,0,0
0002f9c7fac5f093.txt,1,0,0,0
00041cc3701f7805.txt,10,0,0,0
0004d5a9dd44ab6a.txt,0,3,0,0
00058138dc1ecd17.txt,1,0,0,0
0005f203463a13a8.txt,0,1,0,0
0006176101d9d341.txt,1,0,0,0
000629b063edd017.txt,0,0,0,1
00066517f9d814f9.txt,0,1,0,0
0006e2ef92e0ed4a.txt,0,0,0,2
00072b81abc72d21.txt,0,1,0,0
000780f791b71252.txt,0,0,1,0
0007918815abb0a2.txt,1,0,0,0
0007a0f32cb0a641.txt,1,0,0,0
0007eeeabf3c5e5c.txt,0,0,2,0
000812dcf304a8e7.txt,0,0,1,0
000817a6f6819e73.txt,0,1,0,0
000924a411c24d25.txt,0,0,5,0
000998c7ed279358.txt,4,0,0,0
0009b74be294a699.txt,0,0,1,0
0009ebddec6542a5.txt,0,3,0,0
000c10e0af86b52d.txt,0,0,0,2
000cafbcb070c466.txt,13,0,0,0
000d2e3d33b18463.txt,0,0,1,0
000e69rcUvFRfOR.txt,0,1,0,0
000fe11025f2e246.txt,0,0,0,1
000fe94a7fc81d24.txt,2,0,0,0
001017b68b67625c.txt,0,2,0,0
001106d32cef934e.txt,1,0,0,0
00118c8deaacd309.txt,0,0,1,0
0011d11a6a5ab5ad.txt,0,0,1,0
00121be7c1e76f83.txt,0,0,2,0
001236768ce2b74f.txt,1,0,0,0
001281474d7bba78.txt,6,0,0,0
0013cf20040cbc04.txt,0,0,0,2
001475bfa657169d.txt,2,0,0,0
0015c6895036b273.txt,4,0,0,0
0015ed86d644a332.txt,0,0,3,0
00160895ce715368.txt,3,0,0,0
001637c61442b648.txt,1,0,0,0
0016cf15fa4d4e16.txt,2,0,0,0
00176a1c73bce58a.txt,0,0,0,7
001781cdcb61400b.txt,7,0,0,0
0017a1a8af3f78a7.txt,1,0,0,0
0018e004f5cac5e0.txt,1,0,0,0
00192c1070c51ae3.txt,0,0,1,0
0019c154d12174a6.txt,1,0,0,0
001a252aa4b450e8.txt,2,0,0,0
001a4c5a994c1425.txt,1,0,0,0
001a9318987179e8.txt,2,0,0,0
001ae662d690368e.txt,0,6,0,0
001b09b7a248be38.txt,0,0,0,3
001bbf4b3618f467.txt,1,0,0,0
001c8217521cf174.txt,0,0,0,5
001cdd25e148cd36.txt,4,0,0,0
001e97ca0d01caa4.txt,1,0,0,0
001fbc2036824d74.txt,3,0,0,0
00208f24eb66ba00.txt,4,0,0,0
00213f3e0eb0ba42.txt,0,0,0,3
002218aa6b64261a.txt,3,0,0,0
0022325822cfc361.txt,0,0,0,12
0022fdfc1880d432.txt,0,2,0,0
0023051dada44fc7.txt,1,0,0,0
00230cac98ad3f54.txt,0,0,0,1
0023b527935101d5.txt,0,0,0,1
00242aecec762482.txt,2,0,0,0
0024722bfec6549a.txt,3,0,0,0
0024b9746a5b5089.txt,2,0,0,0
002521102ecfac4c.txt,0,0,1,0
0026b117bb17880a.txt,0,1,0,0
0028237702e9fa1f.txt,1,0,0,0
0028ce95bf98cb9a.txt,0,2,0,0
0029478db815498e.txt,1,0,0,0
00296007f80c94f8.txt,0,0,0,1
00296b0c54457743.txt,0,0,1,0
0029b351d7de343a.txt,0,0,0,1
002a95f4a6aad2c1.txt,0,0,0,1
002aeab534f0007a.txt,3,0,0,0
002b11030ee89858.txt,0,1,0,0
002bf1ee9436135b.txt,0,0,0,2
002bf2fbe7a55727.txt,0,0,0,9
002c48dd05cc3b85.txt,0,0,1,0
002ccb771c6d8d4d.txt,3,0,0,0
002d16836e9fae5e.txt,0,1,0,0
002d190cf8dc5c8c.txt,4,0,0,0
002d8e9b02252a4c.txt,0,0,1,0
002da67552d7e708.txt,3,0,0,0
002dab7b4f062545.txt,0,1,0,0
002db8012f87a91a.txt,0,0,0,1
002f21ed3be1d213.txt,9,0,0,0
002f860e692757f7.txt,9,0,0,0
002fbe3379025cf1.txt,0,0,0,1
0030feaa83a02c0d.txt,0,0,0,3
00310d0abf32cc01.txt,0,0,2,0
00314693104a04cf.txt,0,0,0,1
0031df576be8f2d8.txt,5,0,0,0
00322d6b899f0fed.txt,0,1,0,0
0032b916f29ba6ae.txt,4,0,0,0
003551f1525e49af.txt,0,1,0,0
00355f869bf1e478.txt,0,0,0,1
0036a36486be5fa0.txt,0,1,0,0
0036c88ed5a96b00.txt,0,1,0,0
003701c6de4ab948.txt,0,2,0,0
00374eeb5921c260.txt,1,0,0,0
0037ff28a4dfff25.txt,1,0,0,0
0037ff44ed11c568.txt,1,0,0,0
00388cebd6c59358.txt,2,0,0,0
003aa3a3092cb463.txt,1,0,0,0
003aafa1f1e33747.txt,1,0,0,0
003be875517b5193.txt,1,0,0,0
003c79998bb42640.txt,0,0,2,0
003cbfe39ab31fe3.txt,0,0,0,4
003d2d80835532a9.txt,7,0,0,0
003d689c47e27006.txt,0,1,0,0
003d6accff1ccb37.txt,0,1,0,0
003d6b0960cb3e2b.txt,0,0,0,2
003d9b58f026ab6d.txt,1,0,0,0
003dd038c4a8920c.txt,2,0,0,0
003df8cf2effae50.txt,0,0,1,0
003ed92b6eb43e1b.txt,0,1,0,0
003f00b07e582283.txt,5,0,0,0
003feb1cdcd1c3e8.txt,0,1,0,0
0040be4d13e468e3.txt,0,0,2,0
004104019f543c94.txt,0,0,0,1
00410cf982be7b7c.txt,2,0,0,0
0041bb65f5eb7a26.txt,3,0,0,0
00426726ff68cc48.txt,4,0,0,0
0043c099dfd0b208.txt,2,0,0,0
0043da1ff6622b4f.txt,0,1,0,0
0045aa812f8af5f6.txt,6,0,0,0
0045d88407bab692.txt,0,0,1,0
0046022a3de49481.txt,0,0,4,0
00465a3f459800fc.txt,0,0,3,0
0048f11fc5b63d5f.txt,1,0,0,0
0049ed70c1b2d480.txt,0,0,0,1
004a1dfe358763b2.txt,3,0,0,0
004ad4929992ac10.txt,0,0,1,0
004c1c2b94414d04.txt,5,0,0,0
004c571ad25e5249.txt,0,4,0,0
004ca911b06304d3.txt,0,0,0,2
004e1464d275c6c9.txt,0,0,3,0
004e26b41de45ed0.txt,0,0,1,0
004e386c8731573b.txt,2,0,0,0
004e5085b8127281.txt,0,0,4,0
004e7d6b70fe1768.txt,2,0,0,0
00504e57c8f3bcae.txt,0,0,0,1
005118a1a7d0b367.txt,2,0,0,0
0052607b78f01646.txt,0,1,0,0
005270c5d6e6b6d6.txt,1,0,0,0
0053255c9ecb65e8.txt,1,0,0,0
00540dc66af81e94.txt,2,0,0,0
0054a7ba5f5b9ee7.txt,0,1,0,0
0054ec3a97640f3f.txt,0,2,0,0
0055bdcd0c2965ca.txt,0,0,3,0
0055eef5f89aa3cc.txt,0,0,0,1
00573ca2c47642ec.txt,0,1,0,0
005753525902c0a1.txt,0,0,0,1
0057b792f7bc2e6b.txt,0,2,0,0
005853fc1a6b1713.txt,1,0,0,0
0058ee4249e2e83f.txt,0,1,0,0
005a5c7f6060132f.txt,3,0,0,0
005a899ef30efc10.txt,2,0,0,0
005ac74f67543cf2.txt,0,0,0,1
005ad428291130ff.txt,0,1,0,0
005b4ca3a3570432.txt,3,0,0,0
005b83be122efcd3.txt,0,0,0,1
005c698601bcdcb9.txt,2,0,0,0
005d2408165f2cac.txt,0,0,0,1
005e482f13996811.txt,0,0,0,1
005e9a78ac73a118.txt,1,0,0,0
0060021ac952f49f.txt,0,6,0,0
006017783a8beb66.txt,4,0,0,0
0060d34627b59c7c.txt,0,0,0,12
006197e70fb6a375.txt,1,0,0,0
00629079b8556680.txt,0,1,0,0
006348952bda405a.txt,0,0,0,3
00645618375350cf.txt,0,0,1,0
006508816f276859.txt,0,1,0,0
0065db5e1f3a1b75.txt,1,0,0,0
00684a1deb01d64c.txt,2,0,0,0
0068633242ebb5da.txt,0,0,1,0
00688fac1cc21869.txt,0,0,1,0
0068c3fb3a563fc0.txt,0,1,0,0
0069bac022daedf4.txt,0,0,2,0
006a2f13b5b16c64.txt,0,1,0,0
006a36d1a48eae69.txt,0,0,1,0
006aac715a16676d.txt,0,0,0,1
006ab2b40b8a2afe.txt,0,2,0,0
006b3443ca15652f.txt,0,1,0,0
006bb91310a817c5.txt,0,2,0,0
006c2bd42fda3598.txt,0,0,0,1
006e2099e092279a.txt,0,1,0,0
006f44b210255845.txt,0,0,2,0
006f475cab1d9b8a.txt,0,0,1,0
00700c4f74aefad0.txt,0,0,0,1
0072089fc56ab904.txt,0,0,1,0
007232b50d653cba.txt,0,0,0,1
0072382a6d2f2e32.txt,0,0,0,1
0072c81809385f00.txt,0,0,1,0
00749e86d631cba0.txt,0,0,1,0
00751332f75e12d2.txt,0,0,3,0
00757ab42ca415d8.txt,0,1,0,0
00770833020fcd86.txt,1,0,0,0
0077d127ba76adfb.txt,0,4,0,0
00789ce7f6995676.txt,0,1,0,0
0078c17e77d27ccd.txt,0,0,2,0
007cdfad5b85d3e7.txt,0,2,0,0
007cf775a0cfb826.txt,2,0,0,0
007d21228880cf45.txt,0,1,0,0
007fced042355d81.txt,0,0,0,1
008151a07dd92673.txt,0,0,1,0
0082c50527ec2640.txt,0,2,0,0
00845e73b1f3be3a.txt,0,0,0,1
008578cae2e2e6fa.txt,1,0,0,0
0085cd936ab9914c.txt,0,0,0,1
0085d23a897ccf09.txt,0,0,1,0
00868a00547307b0.txt,0,0,2,0
0087f42c4dc1201e.txt,4,0,0,0
0089cb6114167e53.txt,0,0,0,1
008b1a336c7cec1a.txt,0,1,0,0
008b3512d6153a6e.txt,1,0,0,0
008bdc415cf03465.txt,0,0,1,0
008ce6991c7f33f0.txt,0,0,0,1
008d12bb171b1f25.txt,0,0,0,1
008df208f11f4555.txt,0,0,0,1
008e36a5a0623445.txt,0,0,4,0
008f9a566f8d5507.txt,1,0,0,0
00916d3b9c043bc3.txt,0,0,0,1
0091909be6aeafa0.txt,0,0,0,1
0091dc7c6913fcb6.txt,0,0,1,0
009399aaa1eeafbc.txt,1,0,0,0
009672ac62b6f1f1.txt,1,0,0,0
0096abfb93fc4deb.txt,0,0,0,2
0096e21a88c7c2f4.txt,1,0,0,0
0097683580838f04.txt,0,1,0,0
009824ffd4586a33.txt,0,1,0,0
009994d5c5cb5a2b.txt,0,0,2,0
009aed65c0260a04.txt,0,0,1,0
009b067a652d7d79.txt,0,0,1,0
009b91131faabffa.txt,0,2,0,0
009ba8a9ede3880f.txt,0,0,1,0
009f5d9b064f2d64.txt,0,0,0,1
00a04117c2d19ac1.txt,0,0,1,0
00a04ac6a75cd601.txt,0,0,0,2
00a08d0ba39147e1.txt,0,1,0,0
00a09b822d470896.txt,0,0,1,0
00a18c9485d32d8d.txt,0,5,0,0
00a209837c2bbec5.txt,0,0,1,0
00a2c3be48bcef93.txt,0,1,0,0
00a42fc158bbdc03.txt,0,0,2,0
00a966a52072eaf0.txt,0,0,3,0
00aac4defc694c44.txt,0,1,0,0
00aaf0a0a9ee7e71.txt,0,1,0,0
00ac34597051c09f.txt,0,0,0,6
00acedaea77ea9af.txt,0,0,2,0
00ae221519d850b2.txt,0,0,1,0
00ae2Ulk01N56VO.txt,2,1,1,0
00aec70954c94641.txt,0,0,0,1
00afe7db4069f05d.txt,0,0,1,0
00APyxpyrDq2n5F.txt,1,2,0,1
00aRJKdbkZm34bu.txt,0,1,0,0
00aTPtJCZVK5REo.txt,0,1,0,0
